Trial Pos Depth1 Depth2 Threads One Two Draws Games
1776519402 james50.epd 10 10 4 22 12 66 100
1776519402 james50.epd 10 11 4 5 36 59 100
1776519402 james50.epd 10 12 4 3 32 65 100
1776519402 james50.epd 10 15 4 1 59 40 100
1776531995 james50.epd 10 10 4 13 20 67 100
1776531995 james50.epd 10 11 4 8 17 75 100
1776531995 james50.epd 10 12 4 5 42 53 100
1776531995 james50.epd 10 15 4 0 59 41 100
