Trial Pos Clock1 Clock2 Threads One Two Draws Games
1775434969 pos_open1 1 1 4 10 11 19 40
1775434969 pos_open1 1 2 4 11 16 13 40
1775434969 pos_open1 1 3 4 12 11 17 40
1775434969 pos_open1 1 4 4 12 15 13 40
1775434969 pos_open1 1 5 4 15 16 9 40
1775435452 james100.epd 1 1 4 61 51 88 200
1775435452 james100.epd 1 2 4 54 88 58 200
1775435452 james100.epd 1 3 4 64 99 37 200
1775435452 james100.epd 1 4 4 58 108 34 200
1775435452 james100.epd 1 5 4 61 112 27 200
