Trial Pos Threads Depth One Two Draws Games
1776519507 james10.epd 8 9 3 1 16 20
1776520809 james50.epd 1 10 23 18 59 100
1776520809 james50.epd 2 10 15 22 63 100
1776520809 james50.epd 4 10 18 16 66 100
1776520809 james50.epd 8 10 21 19 60 100
1776520809 james50.epd 16 10 14 12 74 100
1776521020 james50.epd 1 12 11 15 74 100
1776521020 james50.epd 2 12 17 15 68 100
1776521020 james50.epd 4 12 8 19 73 100
1776521020 james50.epd 8 12 9 13 78 100
1776521020 james50.epd 16 12 15 11 73 99
