Trial Pos Threads Depth1 Depth2 One Two Draws Games
1776629025 james.epd 1 15 10 553 2 245 800
1776629025 james.epd 2 15 10 455 6 339 800
1776629025 james.epd 4 15 10 352 14 434 800
1776629025 james.epd 8 15 10 283 15 502 800
1776629025 james.epd 16 15 10 170 43 587 800
1776636022 james.epd 1 13 10 466 9 325 800
1776636022 james.epd 2 13 10 354 24 422 800
1776636022 james.epd 4 13 10 218 36 546 800
1776636022 james.epd 8 13 10 144 58 598 800
1776636022 james.epd 16 13 10 78 131 591 800
