Trial Pos Threads Depth One Two Draws Games
1776486722-5 james5.epd 4 12 1 0 9 10
1776486722-5 james5.epd 8 12 0 0 10 10
1776486722-5 james5.epd 16 12 0 1 9 10
1776486722-6 james5.epd 1 12 1 1 8 10
1776486722-6 james5.epd 2 12 0 1 9 10
1776486722-6 james5.epd 4 12 0 0 10 10
1776486722-6 james5.epd 8 12 0 0 10 10
1776486722-6 james5.epd 16 12 1 0 9 10
1776486722-7 james5.epd 1 12 1 1 8 10
1776486722-7 james5.epd 2 12 0 1 9 10
1776486722-7 james5.epd 4 12 0 0 10 10
1776486722-7 james5.epd 8 12 2 0 8 10
1776486722-7 james5.epd 16 12 0 0 10 10
1776486722-8 james5.epd 1 12 1 1 8 10
1776486722-8 james5.epd 2 12 0 1 9 10
1776486722-8 james5.epd 4 12 3 0 7 10
1776486722-8 james5.epd 8 12 0 1 9 10
1776486722-8 james5.epd 16 12 0 0 10 10
1776486722-9 james5.epd 1 12 1 1 8 10
1776486722-9 james5.epd 2 12 0 1 9 10
1776486722-9 james5.epd 4 12 1 1 8 10
1776486722-9 james5.epd 8 12 0 1 9 10
1776486722-9 james5.epd 16 12 1 0 9 10
1776488470-0 james50.epd 4 10 9 20 71 100
1776488470-1 james50.epd 4 10 19 21 60 100
1776488470-2 james50.epd 4 10 16 15 69 100
1776488470-3 james50.epd 4 10 13 15 72 100
1776488470-4 james50.epd 4 10 15 21 64 100
1776488470-5 james50.epd 4 10 18 13 69 100
1776488470-6 james50.epd 4 10 23 10 67 100
1776488470-7 james50.epd 4 10 27 19 54 100
1776488470-8 james50.epd 4 10 19 15 66 100
1776488470-9 james50.epd 4 10 11 18 71 100
1776488652-0 james50.epd 4 10 16 17 67 100
1776488652-1 james50.epd 4 10 20 13 67 100
1776488652-2 james50.epd 4 10 21 15 64 100
1776488652-3 james50.epd 4 10 14 20 66 100
1776488652-4 james50.epd 4 10 11 20 69 100
1776488652-5 james50.epd 4 10 12 15 73 100
1776488652-6 james50.epd 4 10 18 16 66 100
1776488652-7 james50.epd 4 10 20 11 69 100
1776488652-8 james50.epd 4 10 21 16 63 100
1776488652-9 james50.epd 4 10 19 15 66 100
1776488804-0 james50.epd 4 10 23 20 57 100
1776488804-1 james50.epd 4 10 16 19 65 100
1776488804-2 james50.epd 4 10 20 19 61 100
1776488804-3 james50.epd 4 10 19 21 60 100
1776488804-4 james50.epd 4 10 20 17 63 100
